weeks_after,send_job_name,old_new_state,per_emailsegment_total,per_email_total,email_short,email_segment,perc_segmentemail_%
24,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,237,5123,_CC,AtRisk_Dec - Inactive-_CC,4.63
24,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,50,5123,_CC,AtRisk_Dec - AtRisk_Dec-_CC,0.98
24,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,233,5123,_CC,AtRisk_Dec - Active-_CC,4.55
24,PRD_WM_Personalized_Newsletter_CC,Active - Active,2860,5123,_CC,Active - Active-_CC,55.83
24,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,1,5123,_CC,Active - Inactive-_CC,0.02
24,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,484,5123,_CC,Active - AtRisk_Dec-_CC,9.45
18,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,74,6171,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.20
18,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,279,6171,_CC,AtRisk_Dec - Active-_CC,4.52
18,PRD_WM_Personalized_Newsletter_CC,Active - Active,3443,6171,_CC,Active - Active-_CC,55.79
18,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,15,6171,_CC,Inactive - AtRisk_Dec-_CC,0.24
18,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,398,6171,_CC,Inactive - Active-_CC,6.45
18,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,2,6171,_CC,Active - Inactive-_CC,0.03
18,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,571,6171,_CC,Active - AtRisk_Dec-_CC,9.25
18,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,242,6171,_CC,AtRisk_Dec - Inactive-_CC,3.92
